itemCode	batchNum	warehouseCode	dateStamp	timeStamp	sapRefNo	quantity
SIUN0476SW02	238676001	GR052SW	2023-12-02	1600	680926727	100
SIUN0476SW02	238676002	GR052SW	2023-12-02	1600	680926727	100
SIUN04912SW02	238678001	GR052SW	2023-12-02	1600	680926727	100
SIUN04912SW02	238678002	GR052SW	2023-12-02	1600	680926727	100
SIUN0454SW02	238679001	GR052SW	2023-12-02	1600	680926727	100
SIUN0454SW02	238679002	GR052SW	2023-12-02	1600	680926727	100
SIUN0455SW02	238680001	GR052SW	2023-12-02	1600	680926727	100
SIUN0455SW02	238680002	GR052SW	2023-12-02	1600	680926727	100
SIUN04899SW02	238677001	GR052SW	2023-12-02	1600	680926727	100
SIUN04899SW02	238677002	GR052SW	2023-12-02	1600	680926727	100
WPUN0130WA01	238554002	GR052SW	2023-12-02	1600	680926727	1
WPUN0130WA01	238554007	GR052SW	2023-12-02	1600	680926727	1
WPUN0130WA01	238554023	GR052SW	2023-12-02	1600	680926727	1
WPUN0130WA01	238554024	GR052SW	2023-12-02	1600	680926727	1
WPUN0130WA01	238554025	GR052SW	2023-12-02	1600	680926727	1
WPUN0130WA01	238554026	GR052SW	2023-12-02	1600	680926727	1
WPUN0130WA01	238554027	GR052SW	2023-12-02	1600	680926727	1
WPUN0130WA01	238554028	GR052SW	2023-12-02	1600	680926727	1
WPUN0130WA01	238554029	GR052SW	2023-12-02	1600	680926727	1
WPUN0130WA01	238554030	GR052SW	2023-12-02	1600	680926727	1
LBUN0567AG01	238685001	GR052SW	2023-12-02	1600	680926728	1
LBUN0567AG01	238685002	GR052SW	2023-12-02	1600	680926728	1
LBUN0567AG01	238685003	GR052SW	2023-12-02	1600	680926728	1
LBUN0567AG01	238685004	GR052SW	2023-12-02	1600	680926728	1
LBUN0567AG01	238685005	GR052SW	2023-12-02	1600	680926728	1
LBUN0567AG01	238685006	GR052SW	2023-12-02	1600	680926728	1
LBUN0567AG01	238685007	GR052SW	2023-12-02	1600	680926728	1
LBUN0567AG01	238685008	GR052SW	2023-12-02	1600	680926728	1
LBUN0567AG01	238685009	GR052SW	2023-12-02	1600	680926728	1
LBUN0567AG01	238685010	GR052SW	2023-12-02	1600	680926728	1
LBUN0663AG01	238687001	GR052SW	2023-12-02	1600	680926728	1
LBUN0663AG01	238687002	GR052SW	2023-12-02	1600	680926728	1
LBUN0663AG01	238687003	GR052SW	2023-12-02	1600	680926728	1
LBUN0663AG01	238687004	GR052SW	2023-12-02	1600	680926728	1
LBUN0663AG01	238687005	GR052SW	2023-12-02	1600	680926728	1
LBUN0663AG01	238687006	GR052SW	2023-12-02	1600	680926728	1
LBUN0663AG01	238687007	GR052SW	2023-12-02	1600	680926728	1
LBUN0663AG01	238687008	GR052SW	2023-12-02	1600	680926728	1
LBUN0663AG01	238687009	GR052SW	2023-12-02	1600	680926728	1
LBUN0663AG01	238687010	GR052SW	2023-12-02	1600	680926728	1
LBUN0566AG01	238686001	GR052SW	2023-12-02	1600	680926728	1
LBUN0566AG01	238686002	GR052SW	2023-12-02	1600	680926728	1
LBUN0566AG01	238686003	GR052SW	2023-12-02	1600	680926728	1
LBUN0566AG01	238686004	GR052SW	2023-12-02	1600	680926728	1
LBUN0566AG01	238686005	GR052SW	2023-12-02	1600	680926728	1
LBUN0566AG01	238686006	GR052SW	2023-12-02	1600	680926728	1
LBUN0566AG01	238686007	GR052SW	2023-12-02	1600	680926728	1
LBUN0566AG01	238686008	GR052SW	2023-12-02	1600	680926728	1
LBUN0566AG01	238686009	GR052SW	2023-12-02	1600	680926728	1
LBUN0566AG01	238686010	GR052SW	2023-12-02	1600	680926728	1
LBUN0657AG01	238684001	GR052SW	2023-12-02	1600	680926728	1
LBUN0657AG01	238684002	GR052SW	2023-12-02	1600	680926728	1
LBUN0657AG01	238684003	GR052SW	2023-12-02	1600	680926728	1
LBUN0657AG01	238684004	GR052SW	2023-12-02	1600	680926728	1
LBUN0657AG01	238684005	GR052SW	2023-12-02	1600	680926728	1
LBUN0657AG01	238684006	GR052SW	2023-12-02	1600	680926728	1
LBUN0657AG01	238684007	GR052SW	2023-12-02	1600	680926728	1
LBUN0657AG01	238684008	GR052SW	2023-12-02	1600	680926728	1
LBUN0657AG01	238684009	GR052SW	2023-12-02	1600	680926728	1
LBUN0657AG01	238684010	GR052SW	2023-12-02	1600	680926728	1
LBUN0586AG01	238681001	GR052SW	2023-12-02	1600	680926728	1
LBUN0586AG01	238681002	GR052SW	2023-12-02	1600	680926728	1
LBUN0586AG01	238681003	GR052SW	2023-12-02	1600	680926728	1
LBUN0586AG01	238681004	GR052SW	2023-12-02	1600	680926728	1
LBUN0586AG01	238681005	GR052SW	2023-12-02	1600	680926728	1
LBUN0586AG01	238681006	GR052SW	2023-12-02	1600	680926728	1
LBUN0586AG01	238681007	GR052SW	2023-12-02	1600	680926728	1
LBUN0586AG01	238681008	GR052SW	2023-12-02	1600	680926728	1
LBUN0586AG01	238681009	GR052SW	2023-12-02	1600	680926728	1
